method,offset,target
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void e()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void e()>
"$r4 = staticinvoke <android.widget.Toast: android.widget.Toast makeText(android.content.Context,java.lang.CharSequence,int)>(r0, $r3, 1)",0,"<android.widget.Toast: android.widget.Toast makeText(android.content.Context,java.lang.CharSequence,int)>"
$z0 = specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: boolean c()>(),0,<org.intoorbit.spectrum.SpectrumActivity: boolean c()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void h()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void h()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void l()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void l()>
virtualinvoke r0.<android.app.Activity: void invalidateOptionsMenu()>(),0,<android.app.Activity: void invalidateOptionsMenu()>
$r6 = virtualinvoke r0.<android.app.Activity: android.view.Window getWindow()>(),0,<android.app.Activity: android.view.Window getWindow()>
$i0 = <android.os.Build$VERSION: int SDK_INT>,0,<android.os.Build$VERSION: void <clinit>()>
$r1 = newarray (java.lang.String)[1],0,<java.lang.String: void <clinit>()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void f()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void f()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void n()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void n()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void e()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void e()>
"$r4 = staticinvoke <b.c: float[] b(int,int)>($i0, $i1)",0,<b.c: void <clinit>()>
"$r5 = staticinvoke <b.c: float[] a(int,int)>($i0, $i1)",0,"<b.c: float[] a(int,int)>"
"$r4 = staticinvoke <b.c: float[] b(int,int)>($i0, $i1)",0,"<b.c: float[] b(int,int)>"
$f2 = <b.e: float a>,0,<b.e: void <clinit>()>
"$i3 = staticinvoke <b.c: int e(int,int)>($i4, $i0)",0,<b.c: void <clinit>()>
"$i3 = staticinvoke <b.c: int e(int,int)>($i4, $i0)",0,"<b.c: int e(int,int)>"
"$i3 = staticinvoke <b.c: int e(int,int)>($i4, $i0)",0,<b.c: void <clinit>()>
"$i3 = staticinvoke <b.c: int e(int,int)>($i4, $i0)",0,"<b.c: int e(int,int)>"
$d0 = staticinvoke <java.lang.Math: double log10(double)>(2.842170943040401E-14),0,<java.lang.Math: double log10(double)>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void f()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void f()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void e()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void e()>
"$i0 = virtualinvoke r0.<android.app.Activity: int checkSelfPermission(java.lang.String)>(""android.permission.RECORD_AUDIO"")",0,<android.content.ContextWrapper: int checkSelfPermission(java.lang.String)>
"virtualinvoke r0.<android.app.Activity: void requestPermissions(java.lang.String[],int)>($r1, 0)",0,"<android.app.Activity: void requestPermissions(java.lang.String[],int)>"
$z0 = specialinvoke r0.<android.app.Activity: boolean onCreateOptionsMenu(android.view.Menu)>($r1),0,<android.app.Activity: boolean onCreateOptionsMenu(android.view.Menu)>
$r2 = virtualinvoke r0.<android.app.Activity: android.view.MenuInflater getMenuInflater()>(),0,<android.app.Activity: android.view.MenuInflater getMenuInflater()>
$z0 = specialinvoke r0.<android.app.Activity: boolean onPrepareOptionsMenu(android.view.Menu)>($r1),0,<android.app.Activity: boolean onPrepareOptionsMenu(android.view.Menu)>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void e()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void e()>
specialinvoke r0.<android.app.Activity: void onResume()>(),0,<android.app.Activity: void onResume()>
specialinvoke r0.<android.app.Activity: void onRestoreInstanceState(android.os.Bundle)>($r1),0,<android.app.Activity: void onRestoreInstanceState(android.os.Bundle)>
specialinvoke r0.<android.app.Activity: void onStart()>(),0,<android.app.Activity: void onStart()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void h()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void h()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void l()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void l()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void o()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void o()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void i()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void i()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void s()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void s()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void q()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void q()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void m()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void m()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void p()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void p()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void n()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void n()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void r()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void r()>
